Airport ID,Airport Name,CY 16 Enplanements,CY 17 Enplanements
KSDY,Sidney-Richland Regional,8065,8429
KSBM,Sheboygan County Memorial,147,32
KBGM,Greater Binghamton/Edwin A Link Field,68415,33425
KFYJ,Middle Peninsula Regional,2,2
KBDL,Bradley International,2982194,3164647
KDEN,Denver International,28267394,29809097
KSAC,Sacramento Executive,32,29
KEZF,Shannon,0,2
KROW,Roswell International Air Center,44378,55211
KLBF,North Platte Regional Airport Lee Bird Field,4075,3911
KISM,Kissimmee Gateway,39,35
KVLD,Valdosta Regional,40275,43738
KCWC,Kickapoo Downtown,0,2
KFLL,Fort Lauderdale/Hollywood International,14263270,15817043
KEST,Estherville Municipal,0,23
KHUF,Terre Haute Regional,501,377
KOKC,Will Rogers World,1796473,1894289
KCHA,Lovell Field,422442,482113
KAFW,Fort Worth Alliance,1881,2260
KNEW,Lakefront,81,266
KBNA,Nashville International,6338517,6902771
KOCW,Washington-Warren,0,6
KCQF,H. L. (Sonny) Callahan,2,5
KORD,Chicago O'Hare International,37589899,38593028
KHYR,Sawyer County,0,12
KLGU,Logan-Cache,704,1434
KMIA,Miami International,20875813,20709225
KFRH,French Lick Municipal,0,5
KTVR,Vicksburg Tallulah Regional,4,4
KCRP,Corpus Christi International,325815,320263
KITH,Ithaca Tompkins Regional,88692,97212
KTCL,Tuscaloosa Regional,2081,2388
KICT,Wichita Dwight D Eisenhower National,781944,789533
KATY,Watertown Regional,2117,11160
KBEH,Southwest Michigan Regional,6,3
KDSM,Des Moines International,1216357,1257521
KGSO,Piedmont Triad International,848261,881024
KSWO,Stillwater Regional,10362,27370
KPWM,Portland International Jetport,886343,925903
KCMH,John Glenn Columbus International,3567864,3689570
KBRO,Brownsville/South Padre Island International,120151,116197
KBJJ,Wayne County,0,5
KOMK,Omak,1,2
KSFM,Sanford Seacoast Regional,20,4
KECP,Northwest Florida Beaches International,434302,454712
KLAR,Laramie Regional,15957,16072
KHDN,Yampa Valley,107339,96403
KRNV,Cleveland Municipal,0,7
KCKV,Outlaw Field,0,9
KEWN,Coastal Carolina Regional,106110,111147
KOUN,University of Oklahoma Westheimer,59,29
KSLK,Adirondack Regional,4732,4977
KSEA,Seattle-Tacoma International,21887110,22639124
KEKO,Elko Regional,14893,17115
KHVR,Havre City-County,2323,2716
KBTR,"Baton Rouge Metropolitan, Ryan Field",364200,377670
KDDC,Dodge City Regional,1793,1003
KSOP,Moore County,7,5
KFTW,Fort Worth Meacham International,1104,1766
KISW,Alexander Field South Wood County,0,4
KYIP,Willow Run,4093,2938
KOCF,Ocala International-Jim Taylor Field,103,16
KMQB,Macomb Municipal,66,100
KFWA,Fort Wayne International,360369,359658
KBFD,Bradford Regional,2623,3897
KPNS,Pensacola International,792916,839248
KJGG,Williamsburg-Jamestown,5,4
KLGB,Long Beach /Daugherty Field/,1386357,1830745
KMSY,Louis Armstrong New Orleans International,5569705,6022318
KSJC,Norman Y Mineta San Jose International,5321603,6130878
KCWF,Chennault International,238,94
KDTL,Detroit Lakes-Wething Field,0,12
KHOT,Memorial Field,1603,2654
KPSM,Portsmouth International at Pease,73247,105077
KHTO,East Hampton,211,158
KLCI,Laconia Municipal,45,57
KPUB,Pueblo Memorial,2377,3833
KMBS,MBS International,122469,110964
KPHX,Phoenix Sky Harbor International,20896265,21185458
KPNE,Northeast Philadelphia,240,161
KOWB,Owensboro-Daviess County Regional,23537,19578
KAPA,Centennial,347,338
KCOD,Yellowstone Regional,40340,39578
KOLF,L M Clayton,3439,3804
KRIW,Riverton Regional,4228,8277
KGCC,Gillette-Campbell County,28383,29271
KPGA,Page Municipal,17435,21347
KDCA,Ronald Reagan Washington National,11470854,11506310
KIZG,Eastern Slopes Regional,34,73
KAVQ,Marana Regional,2,9
KNUQ,Moffett Federal Airfield,46,13
KBVS,Skagit Regional,103,6
KHTS,Tri-State/Milton J Ferguson Field,98489,103724
KMMI,McMinn County,4,26
KTUL,Tulsa International,1342315,1374424
KORL,Executive,114,175
KISN,Sloulin Field International,68829,69802
KLOT,Lewis University,21,31
KCLT,Charlotte/Douglas International,21511880,22011251
KINT,Smith Reynolds,930,608
KSGU,St George Regional,78680,103569
KASD,Slidell,0,30
KPVD,Theodore Francis Green State,1803000,1940806
KSZT,Sandpoint,2,3
KDUJ,Dubois Regional,2934,3888
KMWH,Grant County International,112,11
KRNO,Reno/Tahoe International,1771864,1953028
KMSV,Sullivan County International,3,32
KLLQ,Monticello Municipal/Ellis Field,0,1
KJMS,Jamestown Regional,11123,10917
KCEF,Westover ARB/Metropolitan,1479,804
KMHR,Sacramento Mather,460,27
KMOP,Mount Pleasant Municipal,8,43
KPIR,Pierre Regional,8246,32822
KABQ,Albuquerque International Sunport,2341719,2412328
KSCK,Stockton Metropolitan,93076,96201
KSLE,McNary Field,44,52
KBHB,Hancock County-Bar Harbor,10094,9509
KMCD,Mackinac Island,2549,3000
KUUU,Newport State,120,72
KLVK,Livermore Municipal,2,2
KFAY,Fayetteville Regional/Grannis Field,224541,238568
KORH,Worcester Regional,57800,53931
KLGA,Laguardia,14762593,14614802
KRDM,Roberts Field,306517,364921
KLBB,Lubbock Preston Smith International,448093,460236
KGNV,Gainesville Regional,206330,218578
KDYR,Dyersburg Regional,0,6
KAIA,Alliance Municipal,2139,2460
KSLC,Salt Lake City International,11143738,11615954
KLZU,Gwinnett County - Briscoe Field,2,2
KPRC,Ernest A Love Field,3451,5888
KSQL,San Carlos,0,4
KBTL,W K Kellogg,1,1
KBLI,Bellingham International,415285,370022
KEEN,Dillant-Hopkins,13,47
KRAL,Riverside Municipal,4,8
KRME,Griffiss International,97,71
KCDR,Chadron Municipal,4474,5532
KIWA,Phoenix-Mesa Gateway,705731,704247
KBIH,Bishop,0,1
KTRM,Jacqueline Cochran Regional,39,123
KCVO,Corvallis Municipal,18,13
KOGS,Ogdensburg International,10281,22957
KMIE,Delaware County Regional,482,188
KCUB,Jim Hamilton L B Owens,8,6
KTIW,Tacoma Narrows,20,19
KTXK,Texarkana Regional-Webb Field,33565,34101
KTIX,Space Coast Regional,18,2
KGVQ,Genesee County,1,2
KSRQ,Sarasota/Bradenton International,589860,590941
KFXE,Fort Lauderdale Executive,317,490
KFMN,Four Corners Regional,1359,2739
KGRI,Central Nebraska Regional,68879,66842
KCHO,Charlottesville-Albemarle,295930,334347
KMTH,The Florida Keys Marathon International,28,12
KERV,Kerrville Municipal/Louis Schreiner Field,0,36
KROA,Roanoke-Blacksburg Regional/Woodrum Field,305212,309341
KBUF,Buffalo Niagara International,2313724,2348512
KGTF,Great Falls International,176730,171049
KGEU,Glendale Municipal,10,10
KADW,Joint Base Andrews,3038,3903
KDEW,Deer Park,0,3
KNVD,Nevada Municipal,2,2
KOIC,Lt Warren Eaton,1,1
KMWA,Veterans Airport of Southern Illinois,10044,11029
KHGR,Hagerstown Regional-Richard A Henson Field,27274,25584
KMFR,Rogue Valley International - Medford,401469,440506
KJBR,Jonesboro Municipal,4593,4785
KEAR,Kearney Regional,4180,4607
KHST,Homestead ARB,327,103
KGPT,Gulfport-Biloxi International,305157,324611
KRKS,Rock Springs-Sweetwater County,16110,18109
KBGE,Decatur County Industrial Air Park,4,5
KPBG,Plattsburgh International,129622,139398
KSHR,Sheridan County,9211,10876
KGLR,Gaylord Regional,975,925
KTRI,Tri-Cities,204926,193068
KBIL,Billings Logan International,423213,415093
KDHN,Dothan Regional,49411,47304
KLUK,Cincinnati Municipal Airport Lunken Field,25706,30681
KPLN,Pellston Regional Airport of Emmet County,25497,23961
KSVC,Grant County,5442,5686
KIND,Indianapolis International,4216766,4343722
KABR,Aberdeen Regional,26529,27635
KTBN,Waynesville-St Robert Regional Forney Field,8108,9078
KSMX,Santa Maria Public/Capt G Allan Hancock Field,40120,24527
KATW,Appleton International,270633,281552
KEAT,Pangborn Memorial,60068,60335
KISP,Long Island MacArthur,597133,648593
KHQM,Bowerman,0,2
KDRO,Durango-La Plata County,187789,186917
KHXD,Hilton Head,30956,26220
KBKW,Raleigh County Memorial,2061,1556
KCEC,Jack McNamara Field,8667,6802
KRTS,Reno/Stead,0,15
KDOV,Dover AFB,463,792
KBMG,Monroe County,2139,2566
KSBP,San Luis County Regional,162719,197594
KCID,The Eastern Iowa,547786,574636
KIKK,Greater Kankakee,4,12
KSDM,Brown Field Municipal,48,83
KAAO,Colonel James Jabara,49,18
KSHD,Shenandoah Valley Regional,5442,6605
KPHF,Newport News/Williamsburg International,199421,197994
KSGJ,Northeast Florida Regional,28462,11431
KSPS,Sheppard AFB/Wichita Falls Municipal,40165,38773
KLIT,Bill and Hillary Clinton National/Adams Field,958824,979530
KMHK,Manhattan Regional,63761,68791
KVOK,Volk Field,64,278
KMSP,Minneapolis-St Paul International/Wold-Chamberlain,18123844,18409704
KOLU,Columbus Municipal,0,8
KGXY,Greeley-Weld County,21,2
KPDX,Portland International,9071154,9435473
KSAV,Savannah/Hilton Head International,1056265,1192340
KAUG,Augusta State,5128,5435
KDET,Coleman A Young Municipal,557,741
KACV,California Redwood Coast-Humboldt County,69732,65932
KVGT,North Las Vegas,15828,3
KBCT,Boca Raton,323,246
KLKU,Louisa County/Freeman Field,0,30
KHEF,Manassas Regional/Harry P Davis Field,554,737
KFHR,Friday Harbor,12831,10359
KBVU,Boulder City Municipal,211615,220980
KAPF,Naples Municipal,1337,505
KPDK,Dekalb-Peachtree,472,3259
KABE,Lehigh Valley International,324511,328914
KBST,Belfast Municipal,108,43
KCLS,Chehalis-Centralia,2,2
KBBG,Branson,1601,7293
KGGG,East Texas Regional,22480,19261
KCHS,Charleston AFB/International,1811695,1945699
KBIV,West Michigan Regional,766,2
KPIT,Pittsburgh International,3986114,4327434
KBLV,Scott AFB/Midamerica,79988,123841
KVNY,Van Nuys,467,1404
KGKY,Arlington Municipal,12,23
KFOE,Topeka Regional,6051,4901
KBFL,Meadows Field,100433,99472
KJXN,Jackson County-Reynolds Field,4,7
KFRM,Fairmont Municipal,0,7
KPIH,Pocatello Regional,34462,40188
KEXX,Davidson County,2,2
KDVL,Devils Lake Regional,8209,7767
KOKK,Kokomo Municipal,3,8
KMTN,Martin State,133,38
KTTN,Trenton Mercer,278436,363654
KAXN,Chandler Field,0,42
KBRD,Brainerd Lakes Regional,18328,21383
KBID,Block Island State,17225,15497
KPQI,Northern Maine Regional Airport at Presque Isle,12526,12735
KFNT,Bishop International,398508,393549
KIMT,Ford,12604,17707
KENV,Wendover,45492,49327
KSUS,Spirit of St. Louis,181,168
KMSS,Massena International-Richards Field,5311,4852
KBQK,Brunswick Golden Isles,36054,36433
KJLN,Joplin Regional,27930,35498
KTYS,McGhee Tyson,887103,963752
KASG,Springdale Municipal,0,6
KSCH,Schenectady County,3,3
KAFJ,Washington County,3,16
KMKG,Muskegon County,18165,17007
KSDF,Louisville International-Standiford Field,1631494,1684738
KBAF,Westfield-Barnes Regional,729,1209
KSUU,Travis AFB,1475,963
KPUW,Pullman/Moscow Regional,61833,59246
KISO,Kinston Regional Jetport at Stallings Field,1114,308
KMMH,Mammoth Yosemite,21826,21352
KANJ,Sault Ste Marie Municipal/Sanderson Field,83,50
KROG,Rogers Executive - Carter Field,26,29
KART,Watertown International,17312,22785
KPWT,Bremerton National,2,3
KJAN,Jackson-Medgar Wiley Evers International,491464,462655
KMKT,Mankato Regional,11,18
KSUA,Witham Field,289,81
KCOF,Patrick AFB,458,476
KAPC,Napa County,87,283
KPHL,Philadelphia International,14564419,14271243
KHON,Huron Regional,607,28
KWVI,Watsonville Municipal,0,1
KRWI,Rocky Mount-Wilson Regional,701,726
KJAX,Jacksonville International,2729129,2701861
KDLL,Baraboo-Wisconsin Dells Regional,4,18
KTPA,Tampa International,9194994,9548580
KLWC,Lawrence Municipal,27,59
KJAC,Jackson Hole,342044,341662
KHOU,William P Hobby,6285181,6538976
KAMW,Ames Municipal,378,607
